taxonID,taxon,originalNameUsage,scientificName,scientificNameAuthorship,GBIFstatus,GBIFstatus_Synonym,GBIFmatchtype,GBIFtaxonRank,GBIFusageKey,GBIFnote,species,genus,family,order,class,phylum,kingdom,taxaGroup
1066,Madia sativa,Madia sativa,Madia sativa Molina,"",ACCEPTED,"",EXACT,SPECIES,3140910,"",Madia sativa,Madia,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1167,Malus magdenbergi NA,Malus magdenbergi NA,"","",MISSING,"","","","","","","","","","","","",Other
1361,Mantisalca salmantica,Mantisalca salmantica,Mantisalca salmantica (L.) Briq. & Cavill.,"",ACCEPTED,"",EXACT,SPECIES,3141571,"",Mantisalca salmantica,Mantisalca,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1478,Melampsoridium betulinum,Melampsoridium betulinum Kleb,Melampsoridium betulinum (Pers.) Kleb.,Kleb,ACCEPTED,"",EXACT,SPECIES,2516809,"",Melampsoridium betulinum,Melampsoridium,Pucciniastraceae,Pucciniales,Pucciniomycetes,Basidiomycota,Fungi,Other
1246,Melica ciliata,Melica ciliata L,Melica ciliata L.,"",ACCEPTED,"",EXACT,SPECIES,2703124,"",Melica ciliata,Melica,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
191,Mentha spicata,Mentha spicata L f B (BCopley 1119) Toelken,Mentha spicata L.,"",ACCEPTED,"",EXACT,SPECIES,2927175,Accepted name provided in 'alternative names' in GBIF,Mentha spicata,Mentha,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
543,Neptunia prostrata,Neptunia oleracea Lour,Neptunia prostrata (Lam.) Baill.,"",SYNONYM,ACCEPTED,EXACT,SPECIES,5353533,"",Neptunia prostrata,Neptunia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
968,Neustanthus phaseoloides,Pueraria phaseoloides,Neustanthus phaseoloides (Roxb.) Benth.,"",SYNONYM,ACCEPTED,EXACT,SPECIES,2977677,"",Neustanthus phaseoloides,Neustanthus,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
168,Nicotiana glauca x Nicotiana suaveolens,Nicotiana glauca x Nicotiana suaveolens,"","",MISSING,"","","","","","","","","","","","",Other
149,Niphograpta albiguttalis,Niphograpta albiguttalis NA,"Niphograpta albiguttalis Warren, 1889","",ACCEPTED,"",EXACT,SPECIES,8876855,Accepted name provided in 'alternative names' in GBIF,Niphograpta albiguttalis,Niphograpta,Crambidae,Lepidoptera,Insecta,Arthropoda,Animalia,Insects
1301,Opuntia engelmannii cujia,Opuntia engelmannii Salm-Dyck var cuija Griffiths & Hare,Opuntia engelmannii var. cujia Griffiths & Hare,"",ACCEPTED,"",FUZZY,VARIETY,5619994,"",Opuntia engelmannii,Opuntia,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
631,Opuntia ficus-indica,Opuntia ficus-indica (L) Miller,Opuntia ficus-indica (L.) Mill.,"",ACCEPTED,"",EXACT,SPECIES,5384064,"",Opuntia ficus-indica,Opuntia,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
705,Opuntia robusta,Opuntia robusta,Opuntia robusta H.L.Wendl.,"",ACCEPTED,"",EXACT,SPECIES,8171268,"",Opuntia robusta,Opuntia,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
95,Parapholis cylindrica,Hainardia cylindrica,Parapholis cylindrica (Willd.) Romero Zarco,"",SYNONYM,ACCEPTED,EXACT,SPECIES,2705690,"",Parapholis cylindrica,Parapholis,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
239,Paronychia argentea,Paronychia argentea Lam,Paronychia argentea Lam.,"",ACCEPTED,"",EXACT,SPECIES,5528747,"",Paronychia argentea,Paronychia,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
305,Pelargonium capitatum,Pelargonium capitatum (L) LHer,Pelargonium capitatum (L.) L'Hér.,"",ACCEPTED,"",EXACT,SPECIES,9711656,Accepted name provided in 'alternative names' in GBIF,Pelargonium capitatum,Pelargonium,Geraniaceae,Geraniales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
730,Peperomia pellucida,Peperomia pellucida (L) Kunth,Peperomia pellucida (L.) Kunth,"",ACCEPTED,"",EXACT,SPECIES,3086412,"",Peperomia pellucida,Peperomia,Piperaceae,Piperales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1172,Pereskia aculeata,Pereskia aculeata Mill,Pereskia aculeata Mill.,"",ACCEPTED,"",EXACT,SPECIES,5384215,"",Pereskia aculeata,Pereskia,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
103,Petrorhagia dubia x Petrorhagia nanteuilii,Petrorhagia dubia x Petrorhagia nanteuilii,"","",MISSING,"","","","","","","","","","","","",Other
1431,Phalaris lemmonii,Phalaris lemmonii,Phalaris lemmonii Vasey,"",ACCEPTED,"",EXACT,SPECIES,5289761,"",Phalaris lemmonii,Phalaris,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
331,Phyllostachys nigra,Phyllostachys nigra NA,Phyllostachys nigra (Lodd. ex Lindl.) Munro,"",ACCEPTED,"",EXACT,SPECIES,5290171,Accepted name provided in 'alternative names' in GBIF,Phyllostachys nigra,Phyllostachys,Poaceae,Poales,Liliopsida,Tracheophyta,Plantae,Vascular plants
199,Pinus radiata,Pinus radiata NA,Pinus radiata D.Don,"",ACCEPTED,"",EXACT,SPECIES,5285727,Accepted name provided in 'alternative names' in GBIF,Pinus radiata,Pinus,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,Vascular plants
1591,Pinus teocote,Pinus teocote NA,Pinus teocote Schiede ex Schltdl. & Cham.,"",ACCEPTED,"",EXACT,SPECIES,5285233,Accepted name provided in 'alternative names' in GBIF,Pinus teocote,Pinus,Pinaceae,Pinales,Pinopsida,Tracheophyta,Plantae,Vascular plants
1467,Plantago coronopus coronopus,Plantago coronopus subsp coronopus,Plantago coronopus subsp. coronopus,"",ACCEPTED,"",EXACT,SUBSPECIES,7303144,"",Plantago coronopus,Plantago,Plantaginaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1236,Polysiphonia senticulosa,Polysiphonia senticulosa (pungens),Polysiphonia senticulosa Harv.,"",ACCEPTED,"",EXACT,SPECIES,5277987,"",Polysiphonia senticulosa,Polysiphonia,Rhodomelaceae,Ceramiales,Florideophyceae,Rhodophyta,Plantae,Other
410,Robinia pseudoacacia,Robinia pseudoacacia,Robinia pseudoacacia L.,"",ACCEPTED,"",EXACT,SPECIES,5352251,"",Robinia pseudoacacia,Robinia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1034,Ruellia tuberosa,Ruellia tuberosa L,Ruellia tuberosa L.,"",ACCEPTED,"",EXACT,SPECIES,5415418,"",Ruellia tuberosa,Ruellia,Acanthaceae,Lamiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
497,Saponaria officinalis,Saponaria officinalis,Saponaria officinalis L.,"",ACCEPTED,"",EXACT,SPECIES,3085360,"",Saponaria officinalis,Saponaria,Caryophyllaceae,Caryophyllales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1042,Scandix pecten-veneris,Scandix pecten-veneris L,Scandix pecten-veneris L.,"",ACCEPTED,"",EXACT,SPECIES,3034233,"",Scandix pecten-veneris,Scandix,Apiaceae,Apiales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
1548,Senna obtusifolia,Senna obtusifolia (L) HIrwin & Barneby,Senna obtusifolia (L.) H.S.Irwin & Barneby,"",ACCEPTED,"",EXACT,SPECIES,2957408,"",Senna obtusifolia,Senna,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
639,Solanum furcatum,Solanum furcatum Dunal ex Poir,Solanum furcatum Dunal,"",ACCEPTED,"",EXACT,SPECIES,2931279,"",Solanum furcatum,Solanum,Solanaceae,Solanales,Magnoliopsida,Tracheophyta,Plantae,Vascular plants
896,Solanum nigrum L sl,Solanum nigrum L sl,"","",MISSING,"","","","","","","","","","","","",Other
195,Sparaxis bulbifera,Sparaxis bulbifera (L) KerGawl,Sparaxis bulbifera (L.) Ker Gawl.,"",SYNONYM,"",EXACT,SPECIES,11348454,"",Sparaxis bulbifera,Sparaxis,Iridaceae,Asparagales,Liliopsida,Tracheophyta,Plantae,Vascular plants
