verbatim_fr,event_fr,confidence_fr
<1952,<1952,low confidence
<1885,<1885,low confidence
<1885,<1885,low confidence
<1855,<1855,low confidence
<1859,<1859,low confidence
<1880,<1880,low confidence
<1886,<1886,low confidence
<1790,<1790,low confidence
<1845,<1845,low confidence
<1890,<1890,low confidence
<1980,<1980,low confidence
<1870,<1870,low confidence
<1875,<1875,low confidence
<1855,<1855,low confidence
<1820,<1820,low confidence
<1732,<1732,low confidence
<2000,<2000,low confidence
<2000,<2000,low confidence
<2000,<2000,low confidence
<2000,<2000,low confidence
<1998,<1998,low confidence
<1930,<1930,low confidence
<1865,<1865,low confidence
<1996,<1996,low confidence
<1880,<1880,low confidence
<1998,<1998,low confidence
<1935,<1935,low confidence
<1935,<1935,low confidence
<1930,<1930,low confidence
<1998,<1998,low confidence
<1885,<1885,low confidence
<1927,<1927,low confidence
<1872,<1872,low confidence
<1880,<1880,low confidence
<1930,<1930,low confidence
<1952,<1952,low confidence
<1957,<1957,low confidence
<1749,<1749,low confidence
Archaeophyte,archaeophyte,low confidence
<1770,<1770,low confidence
<1830,<1830,low confidence
<1885,<1885,low confidence
<1984,<1984,low confidence
<1984,<1984,low confidence
<1935,<1935,low confidence
<2002,<2002,low confidence
<1960,<1960,low confidence
<1995,<1995,low confidence
<2000,<2000,low confidence
<1896,<1896,low confidence
<1993,<1993,low confidence
<1975,<1975,low confidence
<1939,<1939,low confidence
<2000,<2000,low confidence
<1957,<1957,low confidence
<1966,<1966,low confidence
<1939,<1939,low confidence
<1976,<1976,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<1989,<1989,low confidence
<1985,<1985,low confidence
<1810,<1810,low confidence
Neophyte,neophyte,low confidence
<1835,<1835,low confidence
<1805,<1805,low confidence
<1810,<1810,low confidence
<1810,<1810,low confidence
<1885,<1885,low confidence
<1935,<1935,low confidence
<1840,<1840,low confidence
<1935,<1935,low confidence
<1880,<1880,low confidence
Bronze Age,bronze age,low confidence
<1859,<1859,low confidence
>2000,>2000,low confidence
<2001,<2001,low confidence
<1954,<1954,low confidence
<1929,<1929,low confidence
<1982,<1982,low confidence
<2002,<2002,low confidence
<1952,<1952,low confidence
<2002,<2002,low confidence
<2002,<2002,low confidence
<1929,<1929,low confidence
>1925,>1925,low confidence
<1770,<1770,low confidence
Archaeophyte,archaeophyte,low confidence
<1843,<1843,low confidence
Archaeophyte,archaeophyte,low confidence
<1830,<1830,low confidence
<1877,<1877,low confidence
<1930,<1930,low confidence
<1906,<1906,low confidence
<1906,<1906,low confidence
<1906,<1906,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1983,<1983,low confidence
<1821,<1821,low confidence
<1996,<1996,low confidence
<2000,<2000,low confidence
<1920,<1920,low confidence
<2000,<2000,low confidence
<1914,<1914,low confidence
<1885,<1885,low confidence
<1895,<1895,low confidence
<1989,<1989,low confidence
<2000,<2000,low confidence
<1972,<1972,low confidence
<1915,<1915,low confidence
<1795,<1795,low confidence
<1737,<1737,low confidence
<1875,<1875,low confidence
<1998,<1998,low confidence
<1935,<1935,low confidence
<2000,<2000,low confidence
<1940,<1940,low confidence
<1988,<1988,low confidence
<1988,<1988,low confidence
<1982,<1982,low confidence
<1900,<1900,low confidence
<2000,<2000,low confidence
<1995,<1995,low confidence
<1988,<1988,low confidence
<1995,<1995,low confidence
<1995,<1995,low confidence
<1896,<1896,low confidence
<1960,<1960,low confidence
<1989,<1989,low confidence
<1896,<1896,low confidence
<1927,<1927,low confidence
<1939,<1939,low confidence
<1995,<1995,low confidence
Iron Age,iron age,low confidence
<1600,<1600,low confidence
<1880,<1880,low confidence
<1929,<1929,low confidence
<1995,<1995,low confidence
<2010,<2010,low confidence
<1933,<1933,low confidence
<1925,<1925,low confidence
<1960,<1960,low confidence
>1900,>1900,low confidence
>1928,>1928,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1959,<1959,low confidence
<2000,<2000,low confidence
<1890,<1890,low confidence
<1899,<1899,low confidence
<1935,<1935,low confidence
<1866,<1866,low confidence
<1963,<1963,low confidence
Middle Ages,middle ages,low confidence
<1966,<1966,low confidence
<1957,<1957,low confidence
<1957,<1957,low confidence
<1927,<1927,low confidence
<1957,<1957,low confidence
<1935,<1935,low confidence
<1760,<1760,low confidence
<1814,<1814,low confidence
<1870,<1870,low confidence
<1823,<1823,low confidence
<1992,<1992,low confidence
<1865,<1865,low confidence
<1875,<1875,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
>1973,>1973,low confidence
<1954,<1954,low confidence
<1885,<1885,low confidence
<1753,<1753,low confidence
<1880,<1880,low confidence
<1779,<1779,low confidence
<1982,<1982,low confidence
>1850,>1850,low confidence
>1978,>1978,low confidence
>1840,>1840,low confidence
>1840,>1840,low confidence
>1900,>1900,low confidence
<1900,<1900,low confidence
<1924,<1924,low confidence
<1860,<1860,low confidence
<1780,<1780,low confidence
Archaeophyte,archaeophyte,low confidence
<1905,<1905,low confidence
<1880,<1880,low confidence
<1901,<1901,low confidence
Neolithic time,neolithic time,low confidence
Pre 400,pre 400,low confidence
<1993,<1993,low confidence
<1860,<1860,low confidence
<1971,<1971,low confidence
<1947,<1947,low confidence
<1792,<1792,low confidence
<1991,<1991,low confidence
>1996,>1996,low confidence
<1900,<1900,low confidence
<1960,<1960,low confidence
Neolithic time,neolithic time,low confidence
<1981,<1981,low confidence
<1993,<1993,low confidence
>1899,>1899,low confidence
<1915,<1915,low confidence
<2004,<2004,low confidence
<1976,<1976,low confidence
<1988,<1988,low confidence
<1940,<1940,low confidence
<1940,<1940,low confidence
<1971,<1971,low confidence
<1934,<1934,low confidence
<1989,<1989,low confidence
<1900,<1900,low confidence
<1952,<1952,low confidence
<1840,<1840,low confidence
<1814,<1814,low confidence
<1945,<1945,low confidence
<1990,<1990,low confidence
<2000,<2000,low confidence
<1996,<1996,low confidence
>1848,>1848,low confidence
<1996,<1996,low confidence
<1998,<1998,low confidence
<1929,<1929,low confidence
<1989,<1989,low confidence
<1976,<1976,low confidence
>1900,>1900,low confidence
<1975,<1975,low confidence
<1993,<1993,low confidence
<1796,<1796,low confidence
<1993,<1993,low confidence
<1870,<1870,low confidence
<1879,<1879,low confidence
<1936,<1936,low confidence
<1975,<1975,low confidence
<1975,<1975,low confidence
<1964,<1964,low confidence
<1900,<1900,low confidence
<2000,<2000,low confidence
<2000,<2000,low confidence
<1835,<1835,low confidence
Archaeophyte,archaeophyte,low confidence
<1880,<1880,low confidence
<1930,<1930,low confidence
<1850,<1850,low confidence
<1972,<1972,low confidence
<1960,<1960,low confidence
<1971,<1971,low confidence
<1658,<1658,low confidence
<1870,<1870,low confidence
<1870,<1870,low confidence
Neophyte,neophyte,low confidence
<1912,<1912,low confidence
<1952,<1952,low confidence
<1993,<1993,low confidence
<1700,<1700,low confidence
<1845,<1845,low confidence
<1880,<1880,low confidence
<1835,<1835,low confidence
<1859,<1859,low confidence
<1737,<1737,low confidence
<1859,<1859,low confidence
<1900,<1900,low confidence
<1973,<1973,low confidence
<1865,<1865,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<1952,<1952,low confidence
<1830,<1830,low confidence
<1880,<1880,low confidence
<1983,<1983,low confidence
<1930,<1930,low confidence
>1800,>1800,low confidence
<1795,<1795,low confidence
<1774,<1774,low confidence
<1850,<1850,low confidence
<1658,<1658,low confidence
<1840,<1840,low confidence
<1857,<1857,low confidence
<1855,<1855,low confidence
<1935,<1935,low confidence
<1865,<1865,low confidence
<1694,<1694,low confidence
<1994,<1994,low confidence
<1960,<1960,low confidence
<1995,<1995,low confidence
<1960,<1960,low confidence
<1966,<1966,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1860,<1860,low confidence
<1821,<1821,low confidence
Pre 1540,pre 1540,low confidence
<1800,<1800,low confidence
<1848,<1848,low confidence
Neophyte,neophyte,low confidence
<1930,<1930,low confidence
<1658,<1658,low confidence
<1982,<1982,low confidence
>1927,>1927,low confidence
<1952,<1952,low confidence
<1992,<1992,low confidence
<1930,<1930,low confidence
<1933,<1933,low confidence
<1810,<1810,low confidence
<1600,<1600,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1780,<1780,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<1930,<1930,low confidence
<1855,<1855,low confidence
<1700,<1700,low confidence
<1900,<1900,low confidence
<1658,<1658,low confidence
<1930,<1930,low confidence
>1700,>1700,low confidence
Neophyte,neophyte,low confidence
<1988,<1988,low confidence
>1983,>1983,low confidence
<1930,<1930,low confidence
Neophyte,neophyte,low confidence
<1995,<1995,low confidence
<1745,<1745,low confidence
<1855,<1855,low confidence
Neolithic time,neolithic time,low confidence
<1684,<1684,low confidence
<1895,<1895,low confidence
<1885,<1885,low confidence
<1885,<1885,low confidence
<1929,<1929,low confidence
<1960,<1960,low confidence
<1987,<1987,low confidence
<1896,<1896,low confidence
<1720,<1720,low confidence
<1846,<1846,low confidence
<1950,<1950,low confidence
<1948,<1948,low confidence
<1849,<1849,low confidence
<1900,<1900,low confidence
Pre 400,pre 400,low confidence
Pre 400,pre 400,low confidence
<1816,<1816,low confidence
<1816,<1816,low confidence
<1989,<1989,low confidence
<1888,<1888,low confidence
<1900,<1900,low confidence
<1929,<1929,low confidence
<1880,<1880,low confidence
<1732,<1732,low confidence
<1950,<1950,low confidence
<1779,<1779,low confidence
<1944,<1944,low confidence
<1732,<1732,low confidence
<1780,<1780,low confidence
<1800,<1800,low confidence
<1900,<1900,low confidence
<2004,<2004,low confidence
<1920,<1920,low confidence
<1979,<1979,low confidence
<1939,<1939,low confidence
>1913,>1913,low confidence
>1913,>1913,low confidence
<1960,<1960,low confidence
<1770,<1770,low confidence
<1760,<1760,low confidence
<1805,<1805,low confidence
<1780,<1780,low confidence
<1880,<1880,low confidence
<1966,<1966,low confidence
<1991,<1991,low confidence
<1991,<1991,low confidence
<1975,<1975,low confidence
<1600,<1600,low confidence
<1989,<1989,low confidence
<1993,<1993,low confidence
<1974,<1974,low confidence
<1971,<1971,low confidence
<1989,<1989,low confidence
<1989,<1989,low confidence
<1989,<1989,low confidence
<1989,<1989,low confidence
<1989,<1989,low confidence
<1989,<1989,low confidence
<1896,<1896,low confidence
<1976,<1976,low confidence
<1890,<1890,low confidence
<1952,<1952,low confidence
<2000,<2000,low confidence
<1830,<1830,low confidence
<1880,<1880,low confidence
<1895,<1895,low confidence
<1991,<1991,low confidence
<1966,<1966,low confidence
<1989,<1989,low confidence
<1996,<1996,low confidence
<1952,<1952,low confidence
<1929,<1929,low confidence
<1983,<1983,low confidence
<1900,<1900,low confidence
<1780,<1780,low confidence
<1913,<1913,low confidence
<1835,<1835,low confidence
<1850,<1850,low confidence
<1880,<1880,low confidence
<1875,<1875,low confidence
<1880,<1880,low confidence
<1880,<1880,low confidence
<1880,<1880,low confidence
<1825,<1825,low confidence
Neophyte,neophyte,low confidence
<1983,<1983,low confidence
<1976,<1976,low confidence
<1885,<1885,low confidence
<1966,<1966,low confidence
>1833,>1833,low confidence
<1948,<1948,low confidence
<1971,<1971,low confidence
<1929,<1929,low confidence
<1912,<1912,low confidence
<1853,<1853,low confidence
<1600,<1600,low confidence
<1790,<1790,low confidence
<1870,<1870,low confidence
<1975,<1975,low confidence
<1945,<1945,low confidence
<1840,<1840,low confidence
<1750,<1750,low confidence
<1870,<1870,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1957,<1957,low confidence
<1900,<1900,low confidence
>2000,>2000,low confidence
<1996,<1996,low confidence
<1966,<1966,low confidence
<1600,<1600,low confidence
<1700,<1700,low confidence
<1993,<1993,low confidence
<1995,<1995,low confidence
<1995,<1995,low confidence
<1895,<1895,low confidence
<1870,<1870,low confidence
<1993,<1993,low confidence
<1954,<1954,low confidence
<1918,<1918,low confidence
<1989,<1989,low confidence
<1952,<1952,low confidence
<2000,<2000,low confidence
<1952,<1952,low confidence
<1996,<1996,low confidence
<1989,<1989,low confidence
<1932,<1932,low confidence
<2001,<2001,low confidence
<1973,<1973,low confidence
Archaeophyte,archaeophyte,low confidence
<1973,<1973,low confidence
<1935,<1935,low confidence
<1952,<1952,low confidence
<1815,<1815,low confidence
<1960,<1960,low confidence
<1769,<1769,low confidence
<1960,<1960,low confidence
<1870,<1870,low confidence
<1958,<1958,low confidence
<1850,<1850,low confidence
<1935,<1935,low confidence
>1960,>1960,low confidence
<1996,<1996,low confidence
<1792,<1792,low confidence
<1961,<1961,low confidence
<1880,<1880,low confidence
<1700,<1700,low confidence
<1800,<1800,low confidence
Neolithic time,neolithic time,low confidence
Middle Ages,middle ages,low confidence
<1895,<1895,low confidence
<1900,<1900,low confidence
>1940,>1940,low confidence
<2000,<2000,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
>1900,>1900,low confidence
<1859,<1859,low confidence
<1765,<1765,low confidence
<1996,<1996,low confidence
<1859,<1859,low confidence
<1859,<1859,low confidence
<1845,<1845,low confidence
<1780,<1780,low confidence
<1974,<1974,low confidence
>1915,>1915,low confidence
<1993,<1993,low confidence
>1950,>1950,low confidence
<1935,<1935,low confidence
<1935,<1935,low confidence
<1903,<1903,low confidence
>1967,>1967,low confidence
<1749,<1749,low confidence
<1821,<1821,low confidence
<1968,<1968,low confidence
<1743,<1743,low confidence
<1925,<1925,low confidence
<1865,<1865,low confidence
<1859,<1859,low confidence
<1971,<1971,low confidence
<1992,<1992,low confidence
<1878,<1878,low confidence
<1955,<1955,low confidence
Archaeophyte,archaeophyte,low confidence
<1952,<1952,low confidence
Neophyte,neophyte,low confidence
<1939,<1939,low confidence
<1885,<1885,low confidence
Prehistoric time,prehistoric time,low confidence
<1890,<1890,low confidence
<1935,<1935,low confidence
<1880,<1880,low confidence
<1996,<1996,low confidence
<1807,<1807,low confidence
<1850,<1850,low confidence
<1993,<1993,low confidence
<1930,<1930,low confidence
<1992,<1992,low confidence
<1978,<1978,low confidence
<1978,<1978,low confidence
<1859,<1859,low confidence
<1980,<1980,low confidence
<1877,<1877,low confidence
<1909,<1909,low confidence
Middle Ages,middle ages,low confidence
<1795,<1795,low confidence
<1990,<1990,low confidence
<2000,<2000,low confidence
<1989,<1989,low confidence
<1960,<1960,low confidence
<1993,<1993,low confidence
<1983,<1983,low confidence
<1952,<1952,low confidence
Bronze Age,bronze age,low confidence
<1933,<1933,low confidence
<1694,<1694,low confidence
<1893,<1893,low confidence
<1700,<1700,low confidence
<1819,<1819,low confidence
<1744,<1744,low confidence
<1940,<1940,low confidence
Neophyte,neophyte,low confidence
<1876,<1876,low confidence
<1818,<1818,low confidence
>1889,>1889,low confidence
<1878,<1878,low confidence
<1952,<1952,low confidence
<1912,<1912,low confidence
<1732,<1732,low confidence
<1999,<1999,low confidence
<1960,<1960,low confidence
<1939,<1939,low confidence
>1960,>1960,low confidence
<1994,<1994,low confidence
<1993,<1993,low confidence
<1835,<1835,low confidence
<1785,<1785,low confidence
