verbatim_fr,event_fr,confidence_fr
<1600,<1600,low confidence
<1948,<1948,low confidence
<1838,<1838,low confidence
<1998,<1998,low confidence
<1950,<1950,low confidence
<1935,<1935,low confidence
<1993,<1993,low confidence
<2004,<2004,low confidence
<1935,<1935,low confidence
<1935,<1935,low confidence
<1880,<1880,low confidence
<1885,<1885,low confidence
<1964,<1964,low confidence
Archaeophyte,archaeophyte,low confidence
<1820,<1820,low confidence
<1860,<1860,low confidence
<1955,<1955,low confidence
<1929,<1929,low confidence
<1929,<1929,low confidence
<1992,<1992,low confidence
<1788,<1788,low confidence
<1853,<1853,low confidence
<1700,<1700,low confidence
<1972,<1972,low confidence
<2010,<2010,low confidence
<1989,<1989,low confidence
<1821,<1821,low confidence
<2010,<2010,low confidence
<1971,<1971,low confidence
<1996,<1996,low confidence
<1979,<1979,low confidence
>1955,>1955,low confidence
<1976,<1976,low confidence
<1952,<1952,low confidence
<1952,<1952,low confidence
<1993,<1993,low confidence
<1955,<1955,low confidence
<1981,<1981,low confidence
<1998,<1998,low confidence
<1996,<1996,low confidence
<1965,<1965,low confidence
<1986,<1986,low confidence
<1900,<1900,low confidence
<2000,<2000,low confidence
<1860,<1860,low confidence
<1909,<1909,low confidence
<1891,<1891,low confidence
Middle Ages,middle ages,low confidence
<1842,<1842,low confidence
<1821,<1821,low confidence
<1859,<1859,low confidence
Middle Ages,middle ages,low confidence
<1954,<1954,low confidence
<1749,<1749,low confidence
<1905,<1905,low confidence
<1749,<1749,low confidence
<1815,<1815,low confidence
<1993,<1993,low confidence
<1927,<1927,low confidence
<2000,<2000,low confidence
<1993,<1993,low confidence
<1982,<1982,low confidence
<1960,<1960,low confidence
<1816,<1816,low confidence
<1600,<1600,low confidence
<1843,<1843,low confidence
<1785,<1785,low confidence
<1880,<1880,low confidence
<1850,<1850,low confidence
<1993,<1993,low confidence
<1871,<1871,low confidence
<2000,<2000,low confidence
<1980,<1980,low confidence
<1900,<1900,low confidence
<1855,<1855,low confidence
<1825,<1825,low confidence
<1821,<1821,low confidence
Middle Ages,middle ages,low confidence
<1855,<1855,low confidence
<1927,<1927,low confidence
<1957,<1957,low confidence
<1927,<1927,low confidence
<1957,<1957,low confidence
<1952,<1952,low confidence
<1920,<1920,low confidence
<1992,<1992,low confidence
<1885,<1885,low confidence
<1869,<1869,low confidence
<1855,<1855,low confidence
<1901,<1901,low confidence
<1662,<1662,low confidence
<1716,<1716,low confidence
<1830,<1830,low confidence
<1750,<1750,low confidence
<1930,<1930,low confidence
<1880,<1880,low confidence
<1600,<1600,low confidence
<2006,<2006,low confidence
-550,-550,low confidence
Middle Ages,middle ages,low confidence
-550,-550,low confidence
<1976,<1976,low confidence
<1600,<1600,low confidence
<1920,<1920,low confidence
<1880,<1880,low confidence
<1995,<1995,low confidence
<1960,<1960,low confidence
<1935,<1935,low confidence
<1800,<1800,low confidence
Native,native,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<2000,<2000,low confidence
<1694,<1694,low confidence
<1817,<1817,low confidence
<1995,<1995,low confidence
<1912,<1912,low confidence
<1990,<1990,low confidence
<2000,<2000,low confidence
<1885,<1885,low confidence
<1993,<1993,low confidence
<1993,<1993,low confidence
<1939,<1939,low confidence
<1927,<1927,low confidence
<1896,<1896,low confidence
<1966,<1966,low confidence
<1939,<1939,low confidence
<1993,<1993,low confidence
<1960,<1960,low confidence
<1993,<1993,low confidence
<1957,<1957,low confidence
<1993,<1993,low confidence
<2000,<2000,low confidence
<1975,<1975,low confidence
<2000,<2000,low confidence
<1885,<1885,low confidence
<1960,<1960,low confidence
<2000,<2000,low confidence
<2000,<2000,low confidence
Middle Ages,middle ages,low confidence
<1993,<1993,low confidence
<1927,<1927,low confidence
<1997,<1997,low confidence
<1987,<1987,low confidence
<2000,<2000,low confidence
<1968,<1968,low confidence
<1927,<1927,low confidence
<1935,<1935,low confidence
<1960,<1960,low confidence
<19171,<19171,low confidence
